Ranker,Oracle,DisplayRanker,Dataset,Comparisons,NDCG@10,Budget,Experiment
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],webis-touche2020,16698,0.40071,450,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],webis-touche2020,16698,0.40071,500,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],webis-touche2020,16698,0.40071,550,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],webis-touche2020,16698,0.40071,600,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],webis-touche2020,16698,0.40071,650,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],webis-touche2020,16698,0.40071,700,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,2450,0.36051,50,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,4900,0.38696,100,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,7350,0.39596,150,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,9766,0.40124,200,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,250,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,300,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,350,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,400,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,450,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,500,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,550,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,600,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,650,
Christmas Tree,Sampling,Christmas Tree [Sampling],webis-touche2020,10103,0.38782,700,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,15000,0.59992,50,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,30000,0.62341,100,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,45000,0.63711,150,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,60000,0.64588,200,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,75000,0.64589,250,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,89974,0.66119,300,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,101218,0.66011,350,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,102416,0.65849,400,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,102422,0.65849,450,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,102422,0.65849,500,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,102422,0.65849,550,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,102422,0.65849,600,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,102422,0.65849,650,
Christmas Tree,Bidirectional,Christmas Tree [Bidirectional],scifact,102422,0.65849,700,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,15000,0.6251,50,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,30000,0.64846,100,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,45000,0.63416,150,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,59728,0.66148,200,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,250,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,300,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,350,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,400,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,450,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,500,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,550,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,600,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,650,
Christmas Tree,Sampling,Christmas Tree [Sampling],scifact,61754,0.65789,700,
