ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.47964,0.1401,0.16436,0.53889,0,0,0.0
bubble sort (classic),bidirectional,10,0.58587,0.1803,0.20582,0.63333,168958,191564,3.4675481480604646e-06
bubble sort (classic),cached-sampling,10,0.60044,0.18639,0.21066,0.65185,270040,714215,2.223522441119834e-06
bubble sort (classic),sampling,10,0.639,0.1935,0.22193,0.6963,820833,0,7.784774734933903e-07
bubble sort (classic),weird $(1.5)$,10,0.6209,0.1912,0.21846,0.68704,532279,0,1.1664935118612608e-06
christmas tree,sampling,10,0.51653,0.15682,0.17097,0.55,41318,0,1.250133113897091e-05
jingle bells,sampling,10,0.53983,0.1547,0.17989,0.59444,13379,0,4.034905448837731e-05
mohajer (ir),sampling,10,0.57228,0.1571,0.19591,0.62407,46440,0,1.2322997416020671e-05
mohajer + bubble,sampling,10,0.58816,0.16507,0.19701,0.63889,70849,0,8.301599175711726e-06
mohajer + bubble,cached-sampling,10,0.58153,0.16422,0.19684,0.63148,87298,25497,6.661435542624115e-06
mohajer + bubble,bidirectional,10,0.56366,0.1678,0.19764,0.64074,85194,15355,6.616193628659296e-06
mohajer + bubble,weird $(1.5)$,10,0.58825,0.16766,0.19946,0.63889,63975,0,9.194998046111763e-06
pac + bubble,sampling,10,0.57296,0.1655,0.18585,0.62037,36798,0,1.55704114354041e-05
pac + bubble,cached-sampling,10,0.56815,0.16508,0.18178,0.61111,68394,2411,8.307015235254554e-06
pac + bubble,bidirectional,10,0.57191,0.16481,0.18579,0.62963,65202,1563,8.771356706849484e-06
pac + bubble,weird $(1.5)$,10,0.57552,0.16677,0.18864,0.61481,35462,0,1.6229203090632226e-05
pac top-k (2-round),sampling,10,0.57227,0.16829,0.20389,0.64444,219359,0,2.608828450166166e-06
pac top-k (2-round),cached-sampling,10,0.57257,0.16509,0.19282,0.63148,440038,1348,1.3011830796431217e-06
pac top-k (2-round),bidirectional,10,0.59278,0.171,0.20394,0.65,414534,632,1.4299912673025613e-06
pac top-k (2-round),weird $(1.5)$,10,0.56182,0.16998,0.20426,0.62963,211563,0,2.655568317711509e-06
pac top-k (3-round),sampling,10,0.58972,0.16933,0.20403,0.63148,236000,0,2.498813559322034e-06
pac top-k (3-round),cached-sampling,10,0.55921,0.15633,0.19357,0.62407,434108,18946,1.2881817427921163e-06
pac top-k (3-round),bidirectional,10,0.58176,0.16512,0.20266,0.64074,431478,23021,1.3482958574944726e-06
pac top-k (3-round),weird $(1.5)$,10,0.57347,0.16026,0.19866,0.62963,236000,0,2.429957627118644e-06
pac top-k (optimized),sampling,10,0.53655,0.15411,0.18389,0.60741,29600,0,1.8126689189189187e-05
pac top-k (optimized),cached-sampling,10,0.53655,0.15411,0.18389,0.60741,59200,0,9.063344594594593e-06
pac top-k (optimized),bidirectional,10,0.54431,0.1566,0.18579,0.62963,59200,0,9.194425675675674e-06
pac top-k (optimized),weird $(1.5)$,10,0.5367,0.1529,0.18597,0.60185,29600,0,1.8131756756756756e-05
prp sort (classic),cached-sampling,10,0.60211,0.16998,0.20462,0.6537,329136,9863,1.8293653687229595e-06
prp sort (classic),bidirectional,10,0.62637,0.18441,0.21171,0.65556,255344,6030,2.4530437370762577e-06
prp sort (classic),sampling,10,0.60273,0.1729,0.20804,0.65185,174227,0,3.4594523236926536e-06
prp sort (classic),weird $(1.5)$,10,0.62964,0.18625,0.21522,0.67593,156175,0,4.031631182967824e-06
quick sort (classic),bidirectional,10,0.58473,0.17065,0.20252,0.63704,381258,0,1.533685850526415e-06
quick sort (classic),cached-sampling,10,0.58111,0.16459,0.20362,0.64259,225260,0,2.579730089674154e-06
quick sort (classic),sampling,10,0.58111,0.16459,0.20362,0.64259,112630,0,5.159460179348308e-06
quick sort (classic),weird $(1.5)$,10,0.55926,0.15163,0.18467,0.61111,117793,0,4.747820328882022e-06
sliding window prp (classic),bidirectional,10,0.58587,0.1803,0.20582,0.63333,143904,115158,4.071255837224816e-06
sliding window prp (classic),cached-sampling,10,0.61674,0.18394,0.21153,0.67222,210048,92976,2.9361860146252283e-06
sliding window prp (classic),sampling,10,0.62058,0.1826,0.21955,0.68704,198000,0,3.1342424242424244e-06
sliding window prp (classic),weird $(1.5)$,10,0.62268,0.18417,0.22264,0.68889,198000,0,3.144848484848485e-06
