ranker,oracle,k,NDCG,MAP,Recall,Precision,Comparisons,CacheHits,NDCG_per_comp
bm25,bidirectional,10,0.50583,0.11256,0.12848,0.6186,0,0,0.0
bubble sort (classic),bidirectional,10,0.68442,0.15822,0.1686,0.7814,66214,64308,1.0336484731325702e-05
bubble sort (classic),cached-sampling,10,0.69197,0.16001,0.17109,0.79302,89554,131497,7.72684637202135e-06
bubble sort (classic),sampling,10,0.70035,0.16222,0.17393,0.8093,172626,0,4.057036599353516e-06
bubble sort (classic),weird $(1.5)$,10,0.70115,0.16293,0.17498,0.8093,138032,0,5.079619218731889e-06
christmas tree,sampling,10,0.54806,0.12163,0.13381,0.63953,8874,0,6.176019833220644e-05
jingle bells,sampling,10,0.62256,0.13977,0.14966,0.7186,2860,0,0.0002176783216783217
mohajer (ir),sampling,10,0.68729,0.16258,0.17347,0.79302,9946,0,6.910215161874119e-05
mohajer + bubble,sampling,10,0.69471,0.15821,0.17125,0.8,14539,0,4.778251599147122e-05
mohajer + bubble,cached-sampling,10,0.69295,0.15977,0.17275,0.8,19148,4842,3.618915813662001e-05
mohajer + bubble,bidirectional,10,0.66585,0.15393,0.16591,0.76279,18376,3453,3.6234762734000876e-05
mohajer + bubble,weird $(1.5)$,10,0.68534,0.15826,0.17042,0.78605,13425,0,5.104953445065176e-05
pac + bubble,sampling,10,0.6105,0.1394,0.15039,0.70233,7919,0,7.70930673064781e-05
pac + bubble,cached-sampling,10,0.60436,0.13726,0.14916,0.70465,14772,505,4.091253723260222e-05
pac + bubble,bidirectional,10,0.62596,0.13966,0.15111,0.72093,14292,337,4.3797928911279034e-05
pac + bubble,weird $(1.5)$,10,0.61696,0.13859,0.14868,0.7093,7733,0,7.978274925643346e-05
pac top-k (2-round),sampling,10,0.66981,0.15489,0.17334,0.78372,46494,0,1.4406375016131114e-05
pac top-k (2-round),cached-sampling,10,0.67902,0.16074,0.17715,0.7907,92828,173,7.314818804671004e-06
pac top-k (2-round),bidirectional,10,0.68966,0.15717,0.17353,0.8,89370,126,7.71690723956585e-06
pac top-k (2-round),weird $(1.5)$,10,0.68573,0.15836,0.17474,0.79535,45607,0,1.50356304953187e-05
pac top-k (3-round),sampling,10,0.65319,0.14987,0.17291,0.7814,50740,0,1.28732755222704e-05
pac top-k (3-round),cached-sampling,10,0.66338,0.14878,0.16901,0.77907,93352,4064,7.106221612820293e-06
pac top-k (3-round),bidirectional,10,0.67539,0.15058,0.17084,0.7907,92384,4548,7.310681503290613e-06
pac top-k (3-round),weird $(1.5)$,10,0.65926,0.14563,0.16756,0.77674,50740,0,1.2992905005912494e-05
pac top-k (optimized),sampling,10,0.59332,0.13412,0.15303,0.70698,6364,0,9.323067253299811e-05
pac top-k (optimized),cached-sampling,10,0.59332,0.13412,0.15303,0.70698,12728,0,4.6615336266499055e-05
pac top-k (optimized),bidirectional,10,0.59945,0.13631,0.15111,0.72093,12728,0,4.709695160276556e-05
pac top-k (optimized),weird $(1.5)$,10,0.58937,0.13605,0.15081,0.71163,6364,0,9.260999371464487e-05
prp sort (classic),cached-sampling,10,0.68919,0.15768,0.17065,0.78837,75756,2309,9.09749722794234e-06
prp sort (classic),bidirectional,10,0.70578,0.16338,0.1749,0.80698,67524,2023,1.0452283632486227e-05
prp sort (classic),sampling,10,0.68961,0.16208,0.17324,0.79302,40132,0,1.7183544303797466e-05
prp sort (classic),weird $(1.5)$,10,0.70108,0.16461,0.17731,0.8093,38187,0,1.8359127451750598e-05
quick sort (classic),bidirectional,10,0.70355,0.1662,0.17798,0.8186,60816,0,1.1568501710076296e-05
quick sort (classic),cached-sampling,10,0.6879,0.15813,0.17066,0.78372,49636,0,1.3858892739140945e-05
quick sort (classic),sampling,10,0.6879,0.15813,0.17066,0.78372,24818,0,2.771778547828189e-05
quick sort (classic),weird $(1.5)$,10,0.69814,0.1616,0.17604,0.8093,25556,0,2.7318046642667083e-05
sliding window prp (classic),bidirectional,10,0.68442,0.15822,0.1686,0.7814,46956,18894,1.4575773064145158e-05
sliding window prp (classic),cached-sampling,10,0.68476,0.1611,0.17269,0.79302,56730,14205,1.2070509430636348e-05
sliding window prp (classic),sampling,10,0.70399,0.16615,0.17873,0.82093,42570,0,1.6537232793046746e-05
sliding window prp (classic),weird $(1.5)$,10,0.69602,0.16237,0.1742,0.80233,42570,0,1.6350011745360582e-05
